Ticker,Name,Exchange
RTSI.ME,RTSI INDEX,MCX
PTCMP.NX,PSI CONST & MAT,ENX
^NQDMXUSXKREURT,Nasdaq DM Ex US Ex Korea EUR TR,NIM
^NQEU9000GBPT,NASDAQ Europe Tech GBP TR Index,NIM
^SP400-25503020,S&P 400 General Merchandise Sto,SNP
ININS.NX,LYXOR INSURANCE,ENX
^NQUSB4533CADN,NQ US Bnchmk Health Care Provid,NIM
SXLV2T.Z,ESTX LV150 EUR NR,ZRH
^XMEETR,UBS Bloomberg CMCI Energy Hedge,WCB
INAEJ.NX,LYXOR ASIA,ENX
^NQKR2000LMEUR,NASDAQ Korea Inds Large Mid Cap,NIM
^DWFRD,Dow Jones France Total Stock Ma,DJI
WIXEBS2750.FGI,FTSE XEB - IND ENG,FGI
^DHS,WisdomTree High-Yielding Equity,NYS
SXXDAGU.Z,STXE6 DAUDGR,ZRH
^NQCL3000AUDT,NASDAQ Chile Cnsmr Goods AUD TR,NIM
^RMCRGSTECT,Russell Midcap Technology Index,WCB
^NQUSM2710EUR,NQ US Md Cap Aerospace & Defens,NIM
^CEMPEM,CEMP Emerging Market 500 Volati,SNP
^NQUSL8500AUD,NQ US Lg Cap Ins AUD Index,NIM
^STRQGC,StrataQuant Global Commodity In,NYS
^SP500-10102020,S&P 500 Oil & Gas Exploration &,SNP
SXA27L.Z,STXAS12IGS USD P,ZRH
^NQEMASIAJPYN,NASDAQ EM Asia JPY NTR Index,NIM
^NQUSB4577LMJPYT,NQ US  Pharma Large Mid Cap JPY,NIM
^SPXB350,S&P 500 Bottom 350,SNP
^NQDMEU6000LMEUR,NASDAQ DM Europe Telecom Lg Md ,NIM
WIHKG3000.L,FTSE HKG-CYC CON GD,FSI
X0AF.Z,STOXX AM 600REIT TR,ZRH
^NQMEA8700T,NASDAQ MEA Financial Svcs TR In,NIM
WIEXEBS1000.L,FTSE EXB- BASICMAT,FSI
000919.SS,CSI 300 Value Index,SHH
WIDEU2350.L,FTSE DEU CON&BUILD,FSI
^NQUSB8673EURN,NQ US Bnchmk Residential REITs ,NIM
^NQUSS9570GBPN,NQ US Sm Cap Tech Hardware & Eq,NIM
^NQUSB0537LM,NQ US  Integrated Oil & Gas Lg ,NIM
X2E1.DE,INAV ISHMUDIUE CHF,GER
^NQASPA8600LMGBPN,NASDAQ ASPA Real Estate Lg Md C,NIM
^NYA,NYSE COMPOSITE (DJ),NYS
SXTRUCLC.Z,STXT25% CAD P,ZRH
^AFLI,S&P/ASX 50,ASX
^NQHK2000JPYT,NASDAQ Hong Kong Inds JPY TR In,NIM
^DJTGT10,Dow Jones Target 2010 Index,DJI
^NQUSB8700LM,NQ US  Financial Svcs Large Mid,NIM
INEEW.NX,EASYETF TAIWAN INAV,ENX
31560413.SG,GOLDFUTX5LEVERAGED,STU
31548897.SG,SOLAUSTRINFR&UTILPR,STU
^NQG5700LMEURN,NASDAQ Global Travel & Leisure ,NIM
^NQID1000T,NASDAQ Indonesia Basic Matls TR,NIM
^NQASPA5300GBPN,NASDAQ ASPA Retail GBP NTR Inde,NIM
^NQDMEU3000LMGBPN,NASDAQ DM Europe Cnsmr Goods Lg,NIM
SXNRS.Z,STXE600INDGDDSHEUR,ZRH
^AIRAMVG,ALPHA CYCLE RAR MID VALUE INDEX,NYS
^NQASPA1000EURT,NASDAQ ASPA Basic Matls EUR TR ,NIM
^SP600-1010,S&P 600 Energy (Industry Group),SNP
^NQEU3700GBP,NASDAQ Europe Psnl & Hhld Goods,NIM
^NQUSS8673CAD,NQ US Sm Cap Residential REITs ,NIM
SXP1FOBT.Z,STXAP6F&B USD NR,ZRH
^NQCIKCTR,NASDAQ Commodity Coffee Index T,NIM
WIXUKS6000.L,FTSE XUK-TELECOM,FSI
^IDCOT7PR,ICE U.S. Treasury 7 - 10 Year P,NYS
^NQTW8000JPY,NASDAQ Taiwan Financials JPY In,NIM
^NQZALCZAR,NASDAQ South Africa Large Cap Z,NIM
^NQGB6000LMAUDT,NASDAQ UK Telecom Large Mid Cap,NIM
^DJSAPDET,Dow Jones Sustainability Asia/P,DJI
BEFPR.NX,BEL FOOD PRODUCERS,ENX
^KQ51,kosdaq Entertainment & Culture ,KOE
^NQUSS8671EURT,NQ US Sm Cap Ind & Office REITs,NIM
KTOP30.KS,KTOP 30,KSC
GBPCORPI00.L,FTSE STER CORP RES,FSI
^IVX,Merrill Lynch Investible Volati,CBO
^NQFRMCJPYN,NASDAQ France Mid Cap JPY NTR I,NIM
WIXJAS4530.L,FTSE XJA-HEALTH,FSI
^NQUSM1000GBP,NQ US Md Cap Basic Matls GBP In,NIM
^NQUSB1700LMCADT,NQ US  Basic Resources Large Mi,NIM
^NYINOV8T,NYSE US Equity R&D Efficiency I,NYS
SBIOM.SW,SXI BIO+MEDTECH TR,EBS
^BR20T,Dow Jones Brazil Titans 20 ADR ,DJI
^NQDMASPA1700,NASDAQ DM ASPA Basic Resources ,NIM
^NQDMXKRLMN,Nasdaq DM Ex Korea Large Mid Ca,NIM
SXW9NCGR.Z,STXG18XAPP&H EUR NR,ZRH
14954405.SG,YORKMLPIUI PR USD,STU
^DRLGR30T,Transparent Value Large Cap 30 ,SNP
VTCCBD.SW,CHF CORP BOND D,EBS
WIKOR9570.FGI,FTSE KOR-INFO TEC H,FGI
IEXUK.NX,LYXOR EXUK,ENX
Q2G.Z,STXETMT&L USDP,ZRH
^NQDE4000LMAUDT,NASDAQ Germany Health Care Lg M,NIM
^XTQWET,UBS Bloomberg CMCI Sugar #5 Hed,WCB
WIKOR5370.L,FTSE KOR-GENERAL,FSI
