Ticker,Name,Exchange
ARSVEF=X,ARS/VEF,CCY
BWPMOP=X,BWP/MOP,CCY
AEDPHP=X,AED/PHP,CCY
EBM.PA,WHEAT,PAR
ZAR=X,USD/ZAR,CCY
JMDDKK=X,JMD/DKK,CCY
XDRNOK=X,XDR/NOK,CCY
JPYMGA=X,JPY/MGA,CCY
TMTUSD=X,TMT/USD,CCY
CADKZT=X,CAD/KZT,CCY
CZKOMR=X,CZK/OMR,CCY
CHFJMD=X,CHF/JMD,CCY
MA.PA,MAIZE,PAR
MUREGP=X,MUR/EGP,CCY
VNDJPY=X,VND/JPY,CCY
LVLEUR=X,LVL/EUR,CCY
SGDTND=X,SGD/TND,CCY
LKRZAR=X,LKR/ZAR,CCY
19753568.SW,SILBER 999/1000,EBS
DKKPLN=X,DKK/PLN,CCY
EURKGS=X,EUR/KGS,CCY
MXNCLP=X,MXN/CLP,CCY
SEKAMD=X,SEK/AMD,CCY
CADPEN=X,CAD/PEN,CCY
VEFBOB=X,VEF/BOB,CCY
CHBEZ.SW,BEZ.KURSE,EBS
THBSGD=X,THB/SGD,CCY
LTLCAD=X,LTL/CAD,CCY
EGPHKD=X,EGP/HKD,CCY
PLNVEF=X,PLN/VEF,CCY
GHSEUR=X,GHS/EUR,CCY
PLNKWD=X,PLN/KWD,CCY
LVLAUD=X,LVL/AUD,CCY
RSD=X,USD/RSD,CCY
CVEUSD=X,CVE/USD,CCY
BZD=X,USD/BZD,CCY
LVLCNY=X,LVL/CNY,CCY
JPYNAD=X,JPY/NAD,CCY
UGXANG=X,UGX/ANG,CCY
SGDINR=X,SGD/INR,CCY
NZDDKK=X,NZD/DKK,CCY
COPMXN=X,COP/MXN,CCY
THBXDR=X,THB/XDR,CCY
SARMAD=X,SAR/MAD,CCY
MADSEK=X,MAD/SEK,CCY
OMRMXN=X,OMR/MXN,CCY
SZLCHF=X,SZL/CHF,CCY
KWDJPY=X,KWD/JPY,CCY
PLNPEN=X,PLN/PEN,CCY
KRWDKK=X,KRW/DKK,CCY
EUR-GHS.F,EUR/GHS,FRA
SVCCHF=X,SVC/CHF,CCY
TWDCAD=X,TWD/CAD,CCY
CADAZN=X,CAD/AZN,CCY
ANG=X,USD/ANG,CCY
CHFIRR=X,CHF/IRR,CCY
CADUAH=X,CAD/UAH,CCY
NOKCAD=X,NOK/CAD,CCY
ILSNOK=X,ILS/NOK,CCY
ISKTHB=X,ISK/THB,CCY
AEDLVL=X,AED/LVL,CCY
TWDILS=X,TWD/ILS,CCY
JPYETB=X,JPY/ETB,CCY
SARLKR=X,,CCY
EURILS=X,EUR/ILS,CCY
TRYCZK=X,TRY/CZK,CCY
JPYARS=X,JPY/ARS,CCY
CZKUYU=X,CZK/UYU,CCY
MXNOMR=X,MXN/OMR,CCY
MOPAUD=X,MOP/AUD,CCY
PHPSGD=X,PHP/SGD,CCY
HKD=X,USD/HKD,CCY
AEDCHF=X,AED/CHF,CCY
XF000EURCLP3.SG,EUR/CLP,STU
EGPRUB=X,EGP/RUB,CCY
QARPHP=X,QAR/PHP,CCY
MXNLVL=X,MXN/LVL,CCY
CHFUGX=X,CHF/UGX,CCY
AUDKRW=X,AUD/KRW,CCY
GBPGEL=X,GBP/GEL,CCY
HF52.EX,STURM FL 50BN 12,EUX
DKKSAR=X,DKK/SAR,CCY
PKRCAD=X,PKR/CAD,CCY
MADRUB=X,MAD/RUB,CCY
29134351=X,,
LVLTWD=X,LVL/TWD,CCY
THBKRW=X,THB/KRW,CCY
SARKES=X,SAR/KES,CCY
AUDDOP=X,AUD/DOP,CCY
MADCHF=X,MAD/CHF,CCY
CADGIP=X,CAD/GIP,CCY
MADCZK=X,MAD/CZK,CCY
BHDJPY=X,BHD/JPY,CCY
BWPKYD=X,BWP/KYD,CCY
CHFBDT=X,CHF/BDT,CCY
CADCNY=X,CAD/CNY,CCY
EURJMD=X,EUR/JMD,CCY
XCDCAD=X,XCD/CAD,CCY
AUDGIP=X,AUD/GIP,CCY
GHSCAD=X,GHS/CAD,CCY
GBPDZD=X,GBP/DZD,CCY
EUR-PLN.F,EUR/PLN,FRA
WSTGBP=X,WST/GBP,CCY
SGDKWD=X,SGD/KWD,CCY
XF000EURHUF4.SG,EUR/HUF FIXING,STU
CLPBOB=X,CLP/BOB,CCY
29134338=X,,
PLNRUB=X,PLN/RUB,CCY
CNYSGD=X,CNY/SGD,CCY
AUDTRY=X,AUD/TRY,CCY
INRCZK=X,INR/CZK,CCY
IDEBY.MDD,ELECTR BASELOAD Y,MDD
CADINR=X,CAD/INR,CCY
ZMW=X,USD/ZMW,CCY
MZNCAD=X,MZN/CAD,CCY
GEL=X,USD/GEL,CCY
CHFAWG=X,CHF/AWG,CCY
MADCAD=X,MAD/CAD,CCY
BWPPGK=X,BWP/PGK,CCY
AEDIQD=X,AED/IQD,CCY
EURXOF=X,EUR/XOF,CCY
BMD=X,USD/BMD,CCY
29134344=X,,
AUDSYP=X,AUD/SYP,CCY
NPRXDR=X,NPR/XDR,CCY
PHPSEK=X,PHP/SEK,CCY
RUBOMR=X,RUB/OMR,CCY
CZKAED=X,CZK/AED,CCY
RUBUZS=X,RUB/UZS,CCY
RUBTRY=X,RUB/TRY,CCY
GBPGMD=X,GBP/GMD,CCY
PHPZAR=X,PHP/ZAR,CCY
JODOMR=X,JOD/OMR,CCY
VUVEGP=X,VUV/EGP,CCY
VUVEUR=X,VUV/EUR,CCY
SGDBOB=X,SGD/BOB,CCY
AZNUSD=X,AZN/USD,CCY
KRWIDR=X,KRW/IDR,CCY
DJFUSD=X,DJF/USD,CCY
CADSCR=X,CAD/SCR,CCY
SGDJOD=X,SGD/JOD,CCY
BOBCLP=X,BOB/CLP,CCY
CADMGA=X,CAD/MGA,CCY
CHFISK=X,CHF/ISK,CCY
EURNOKFIX=X,,
FJDHKD=X,FJD/HKD,CCY
HKDSGD=X,HKD/SGD,CCY
JPYMAD=X,JPY/MAD,CCY
AUDBOB=X,AUD/BOB,CCY
UGXEGP=X,UGX/EGP,CCY
PLNLTL=X,PLN/LTL,CCY
TRYMAD=X,TRY/MAD,CCY
THBINR=X,THB/INR,CCY
EUR-NAD.F,EUR/NAD,FRA
MXN=X,USD/MXN,CCY
EURFKP=X,EUR/FKP,CCY
AZN=X,USD/AZN,CCY
KWDILS=X,KWD/ILS,CCY
CADVUV=X,CAD/VUV,CCY
CHFSOS=X,CHF/SOS,CCY
SARDKK=X,SAR/DKK,CCY
PLNBND=X,PLN/BND,CCY
KRWBWP=X,KRW/BWP,CCY
MADHUF=X,MAD/HUF,CCY
CADKRW=X,CAD/KRW,CCY
UYUMXN=X,UYU/MXN,CCY
MXNKWD=X,MXN/KWD,CCY
JPYCDF=X,JPY/CDF,CCY
NPREUR=X,NPR/EUR,CCY
JPYBDT=X,JPY/BDT,CCY
PKRTHB=X,PKR/THB,CCY
HG12.EX,STURM GOLF 10BN 12,EUX
HUFHKD=X,HUF/HKD,CCY
KWD=X,USD/KWD,CCY
THBGBP=X,THB/GBP,CCY
JPYBTN=X,JPY/BTN,CCY
RUBTWD=X,RUB/TWD,CCY
HKDGHS=X,HKD/GHS,CCY
PABCHF=X,PAB/CHF,CCY
IEPCHF=X,IEP/CHF,CCY
LKRCHF=X,LKR/CHF,CCY
CNYTHB=X,CNY/THB,CCY
EUR-TMM.F,EUR/TMM,FRA
LVLEGP=X,LVL/EGP,CCY
LVLIDR=X,LVL/IDR,CCY
SEKBGN=X,SEK/BGN,CCY
CHFEUR=X,CHF/EUR,CCY
CADCOP=X,CAD/COP,CCY
CHFDKK=X,CHF/DKK,CCY
CADJMD=X,CAD/JMD,CCY
CADKYD=X,CAD/KYD,CCY
HUFINR=X,HUF/INR,CCY
2108862=X,,
EGPMUR=X,EGP/MUR,CCY
EUR-GYD.F,EUR/GYD,FRA
MURSAR=X,MUR/SAR,CCY
EURKRW=X,EUR/KRW,CCY
AUDPLN=X,AUD/PLN,CCY
PABDKK=X,PAB/DKK,CCY
GMDDKK=X,GMD/DKK,CCY
DKKCHF=X,DKK/CHF,CCY
TNDPLN=X,TND/PLN,CCY
HTGCHF=X,HTG/CHF,CCY
VEFCHF=X,VEF/CHF,CCY
RONNOK=X,RON/NOK,CCY
TNDGBP=X,TND/GBP,CCY
SEKSGD=X,SEK/SGD,CCY
AUDRON=X,AUD/RON,CCY
UGXPHP=X,UGX/PHP,CCY
KWDMXN=X,KWD/MXN,CCY
QARMUR=X,QAR/MUR,CCY
MXNCOP=X,MXN/COP,CCY
KESLVL=X,KES/LVL,CCY
RUBPLN=X,RUB/PLN,CCY
BWPRWF=X,BWP/RWF,CCY
AEDGBP=X,AED/GBP,CCY
BHDCHF=X,BHD/CHF,CCY
MADINR=X,MAD/INR,CCY
EUR-CHF.F,EUR/CHF,FRA
ZARTRY=X,ZAR/TRY,CCY
HKDBMD=X,HKD/BMD,CCY
GBPRSD=X,GBP/RSD,CCY
MYRPHP=X,MYR/PHP,CCY
MURTHB=X,MUR/THB,CCY
HUFILS=X,HUF/ILS,CCY
CZKTRY=X,CZK/TRY,CCY
ARSCHF=X,ARS/CHF,CCY
AOAEUR=X,AOA/EUR,CCY
BOBPEN=X,BOB/PEN,CCY
GBPTMT=X,GBP/TMT,CCY
22372094.SW,VIANDANTE 5 SILBER,EBS
EGPCZK=X,EGP/CZK,CCY
